1,A1BG,117586,A1bg
10,NAT2,17960,Nat1
100,ADA,11486,Ada
1000,CDH2,12558,Cdh2
10000,AKT3,23797,Akt3
10001,MED6,69792,Med6
10002,NR2E3,23958,Nr2e3
10003,NAALAD2,72560,Naalad2
10004,NAALADL1,381204,Naaladl1
10005,ACOT8,170789,Acot8
10006,ABI1,11308,Abi1
10007,GNPDA1,26384,Gnpda1
10008,KCNE3,57442,Kcne3
10009,ZBTB33,56805,Zbtb33
1001,CDH3,12560,Cdh3
10010,TANK,21353,Tank
100101267,POM121C,107939,Pom121
100101467,ZSCAN30,328918,Zscan30
10011,SRA1,24068,Sra1
100113407,TMEM170B,621976,Tmem170b
100125288,ZGLP1,100009600,Zglp1
100127206,KIAA1024L,225583,A730017C20Rik
100127206,KIAA1024L,225583,Minar2
100127983,C8orf88,100038514,Gm11837
100128071,FAM229A,68233,Fam229a
100128327,TRAPPC3L,692132,Trappc3l
100128569,C19orf71,432479,4930404N11Rik
100128927,ZBTB42,382639,Zbtb42
100129128,KHDC1L,368204,Khdc1a
100129271,C1orf68,66533,2310050C09Rik
100129361,SMIM10L1,381820,Smim10l1
100129480,MKRN2OS,70291,Mkrn2os
100129520,TEX13C,637093,Tex13c1
100129583,FAM47E,384198,Fam47e
100129654,TCF24,100039596,Tcf24
100129669,IZUMO3,69314,Izumo3
100129792,CCDC152,100039139,Ccdc152
100129924,TMEM269,75180,4930538K18Rik
100129924,TMEM269,75180,Tmem269
10013,HDAC6,15185,Hdac6
100130274,CCDC166,223648,Ccdc166
100130301,C8orf89,75799,4930444P10Rik
100130311,C17orf107,668433,4930544D05Rik
100130348,TMEM262,433215,BC048609
100130348,TMEM262,433215,Tmem262
100130361,CXorf49,102634296,LOC102634296
100130519,TMEM221,434325,Tmem221
100130613,PRR32,68800,Prr32
100130705,LOC100130705,668210,Atp6v1fnb
100130742,LRRC69,73314,Lrrc69
100130827,SBK3,381835,Sbk3
100130958,SYCE1L,668110,Syce1l
100130988,C7orf72,73862,4930415F15Rik
100130988,C7orf72,73862,Spata48
100131017,ZNF316,54201,Zfp316
100131137,BSPH1,330470,Bsph1
100131187,TSTD1,226654,Tstd1
100131211,NEMP2,227094,Nemp2
100131211,NEMP2,227094,Tmem194b
100131244,ANKRD63,383787,Ankrd63
100131378,C11orf91,68243,A930018P22Rik
100131390,SP9,381373,Sp9
100131439,CD300LD,217305,Cd300ld
100131755,ARMCX4,100503043,Armcx4
100131801,PET100,100503890,Pet100
100131827,ZNF717,22698,Zfp39
100131897,FAM196B,574403,Fam196b
100132074,FOXO6,329934,Foxo6
100132146,FAM240A,235634,Fam240a
100132146,FAM240A,235634,Gm590
100132386,KRTAP4-9,670482,Gm11554
100132463,CLDN24,100039801,Cldn24
100132916,FAM159B,77803,Shisal2b
100132994,CXorf49B,102634296,LOC102634296
100133267,LOC100133267,654465,Defb47
100134934,TEN1,69535,Ten1
100134938,UPK3BL,69665,Upk3bl
100137047,JMJD7,433466,Jmjd7
100137049,PLA2G4B,211429,Pla2g4b
10014,HDAC5,15184,Hdac5
100141515,C17orf99,77727,6030468B19Rik
10015,PDCD6IP,18571,Pdcd6ip
10016,PDCD6,18570,Pdcd6
100169851,PATE3,100312956,Pate3
10017,BCL2L10,12049,Bcl2l10
100170765,ERICH4,632778,Erich4
100170841,EPOP,103551,Epop
10018,BCL2L11,12125,Bcl2l11
100188893,TOMM6,66119,Tomm6
10019,SH2B3,16923,Sh2b3
100190949,C5orf52,67430,4921536K21Rik
100191040,C2CD4D,271944,C2cd4d
1002,CDH4,12561,Cdh4
10020,GNE,50798,Gne
10021,HCN4,330953,Hcn4
10022,INSL5,23919,Insl5
10023,FRAT1,14296,Frat1
10024,TROAP,78733,Troap
10025,MED16,216154,Med16
10026,PIGK,329777,Pigk
100271715,ARHGEF33,381112,Arhgef33
100271849,MEF2B,17259,Mef2b
100272147,CMC4,17763,Mtcp1
100287171,WASHC1,68767,Wash1
100287171,WASHC1,68767,Washc1
100287226,ZNF729,212281,Zfp729a
100287284,MANSC4,545893,Mansc4
100287718,ANKRD66,100043332,Ankrd66
100287898,TTC34,242800,Ttc34
100287932,TIMM23,53600,Timm23
100288797,TMEM239,66766,Tmem239
100288814,CLDN34,628893,Cldn34-ps
100289635,ZNF605,675812,Zfp605
1003,CDH5,12562,Cdh5
100302652,GPR75-ASB3,65257,Asb3
100303755,PET117,100048644,Pet117
100310846,ANKRD61,66729,Ankrd61
100316904,SAP25,751865,Sap25
100329135,TRPC5OS,100503240,Trpc5os
10036,CHAF1A,27221,Chaf1a
10038,PARP2,11546,Parp2
100381270,ZBED6,667118,Zbed6
10039,PARP3,235587,Parp3
1004,CDH6,12563,Cdh6
10040,TOM1L1,71943,Tom1l1
10042,HMGXB4,70823,Hmgxb4
100423062,IGLL5,16136,Igll1
10043,TOM1,21968,Tom1
10044,SH2D3C,27387,Sh2d3c
10047,CST8,13012,Cst8
10048,RANBP9,56705,Ranbp9
10049,DNAJB6,23950,Dnajb6
100499483,CCDC180,381522,Ccdc180
1005,CDH7,241201,Cdh7
10050,SLC17A4,319848,Slc17a4
100505385,IQCJ-SCHIP1,100505386,Iqschfp
100505478,TEX48,75524,1700018C11Rik
100505478,TEX48,75524,Tex48
100505591,LRRC3C,192852,Lrrc3c
100505741,SPATA1,70951,Spata1
100505753,KRTAP16-1,100504183,Krtap16-1
100505841,LOC100505841,78414,1700034E13Rik
100505993,TMEM210,78217,Tmem210
100506049,LRRC72,71156,Lrrc72
100506144,TMEM35B,100039968,Tmem35b
100506564,THEGL,71868,Thegl
100506581,C16orf95,76405,1700018B08Rik
100506658,OCLN,18260,Ocln
100506736,SLFN12L,20557,Slfn3
100507003,GFY,100039953,Gfy
100507050,TPBGL,100503386,Tpbgl
100507055,LRCOL1,381667,Lrcol1
100507096,GIMD1,433653,Gimd1
100507290,ZNF865,319748,Zfp865
100507341,SMIM18,72632,Smim18
100507421,TMEM178B,434008,Tmem178b
100507588,TGFBR3L,100044509,Tgfbr3l
100507650,RNF212B,102632837,Rnf212b
10051,SMC4,70099,Smc4
10052,GJC1,14615,Gjc1
100526739,APITD1-CORT,69928,Cenps
100526740,ATP5J2-PTCD1,71799,Ptcd1
100526761,CCDC169-SOHLH2,74434,Sohlh2
100526772,TMEM110-MUSTN1,69179,Tmem110
100526773,EPPIN-WFDC6,75526,Eppin
100526783,C15orf38-AP3S2,70420,Arpin
100526832,PHOSPHO2-KLHL23,277396,Klhl23
100527949,GIMAP1-GIMAP5,83408,Gimap3
100527963,PMF1-BGLAP,67037,Pmf1
100528017,SAA2-SAA4,20211,Saa4
100529144,CORO7-PAM16,78885,Coro7
100529215,ZNF559-ZNF177,102639598,Gm14296
10053,AP1M2,11768,Ap1m2
100532731,COMMD3-BMI1,12151,Bmi1
100532736,MINOS1-NBL1,17965,Nbl1
100533105,C8orf44-SGK3,170755,Sgk3
100533183,RFLNA,73121,Rflna
100534599,ISY1-RAB43,57905,Isy1
10054,UBA2,50995,Uba2
10055,SAE1,56459,Sae1
10056,FARSB,23874,Farsb
10057,ABCC5,27416,Abcc5
10058,ABCB6,74104,Abcb6
10059,DNM1L,74006,Dnm1l
1006,CDH8,12564,Cdh8
10060,ABCC9,20928,Abcc9
10061,ABCF2,27407,Abcf2
10062,NR1H3,22259,Nr1h3
10063,COX17,12856,Cox17
100652824,KIAA2012,381260,Gm973
100653515,CEP295NL,58251,BC100451
100653515,CEP295NL,58251,Cep295nl
10066,SCAMP2,24044,Scamp2
10067,SCAMP3,24045,Scamp3
10068,IL18BP,16068,Il18bp
10069,RWDD2B,53858,Rwdd2b
1007,CDH9,12565,Cdh9
10072,DPP3,75221,Dpp3
10073,SNUPN,66069,Snupn
10075,HUWE1,59026,Huwe1
10076,PTPRU,19273,Ptpru
10077,TSPAN32,27027,Tspan32
10078,TSSC4,56844,Tssc4
10079,ATP9A,11981,Atp9a
1008,CDH10,320873,Cdh10
10081,PDCD7,50996,Pdcd7
10082,GPC6,23888,Gpc6
100820829,MYZAP,102371,Myzap
10083,USH1C,72088,Ush1c
10084,PQBP1,54633,Pqbp1
10085,EDIL3,13612,Edil3
10086,HHLA1,654498,Hhla1
100861412,FSBP,100503583,Fsbp
10087,COL4A3BP,68018,Col4a3bp
100885848,PTGES3L,73635,Ptges3l
10089,KCNK7,16530,Kcnk7
1009,CDH11,12552,Cdh11
10090,UST,338362,Ust
10092,ARPC5,67771,Arpc5
10093,ARPC4,68089,Arpc4
10094,ARPC3,56378,Arpc3
10095,ARPC1B,11867,Arpc1b
10096,ACTR3,74117,Actr3
10097,ACTR2,66713,Actr2
10098,TSPAN5,56224,Tspan5
10099,TSPAN3,56434,Tspan3
100996648,TCP11X2,71841,Tcp11x2
100996939,PYURF,66459,Pyurf
101,ADAM8,11501,Adam8
1010,CDH12,215654,Cdh12
10100,TSPAN2,70747,Tspan2
10101,NUBP2,26426,Nubp2
10102,TSFM,66399,Tsfm
10103,TSPAN1,66805,Tspan1
10105,PPIF,105675,Ppif
10106,CTDSP2,52468,Ctdsp2
10107,TRIM10,19824,Trim10
10109,ARPC2,76709,Arpc2
10110,SGK2,27219,Sgk2
10111,RAD50,19360,Rad50
10112,KIF20A,19348,Kif20a
10113,PREB,50907,Preb
10114,HIPK3,15259,Hipk3
10116,FEM1B,14155,Fem1b
10117,ENAM,13801,Enam
1012,CDH13,12554,Cdh13
10120,ACTR1B,226977,Actr1b
10121,ACTR1A,54130,Actr1a
10123,ARL4C,320982,Arl4c
10124,ARL4A,11861,Arl4a
10125,RASGRP1,19419,Rasgrp1
10126,DNAL4,54152,Dnal4
10127,ZNF263,74120,Zfp263
